s,E0,E1,E2,E3,gap,K
4.950000000000000233e-02,-1.901814016122637785e+00,-4.948322171533889313e-02,4.950000000000000927e-02,1.901797237837976606e+00,1.852330794407298864e+00,1.153710649065334132e-01
5.000000000000000278e-02,-1.900831073139839678e+00,-4.998268998579429717e-02,4.999999999999998196e-02,1.900813763125634104e+00,1.850848383154045429e+00,1.156898870928780992e-01
5.050000000000000322e-02,-1.899848318216965204e+00,-5.048214675284258546e-02,5.049999999999998240e-02,1.899830464969807231e+00,1.849366171464122521e+00,1.160097538584827781e-01
5.100000000000000366e-02,-1.898865751713251671e+00,-5.098159187710187001e-02,5.100000000000001060e-02,1.898847343590353676e+00,1.847884159836149731e+00,1.163306691232808554e-01
5.150000000000000411e-02,-1.897883373988837441e+00,-5.148102521864520581e-02,5.149999999999998329e-02,1.897864399207483288e+00,1.846402348770192159e+00,1.166526368234611644e-01
5.200000000000000455e-02,-1.896901185404764156e+00,-5.198044663699859236e-02,5.199999999999998374e-02,1.896881632041762744e+00,1.844920738767765522e+00,1.169756609115387980e-01
5.249999999999999806e-02,-1.895919186322974959e+00,-5.247985599113902389e-02,5.250000000000000500e-02,1.895899042314114213e+00,1.843439330331835935e+00,1.172997453564283143e-01
5.299999999999999850e-02,-1.894937377106327592e+00,-5.297925313949225501e-02,5.300000000000000544e-02,1.894916630245819578e+00,1.841958123966835448e+00,1.176248941435133061e-01
5.349999999999999895e-02,-1.893955758118586630e+00,-5.347863793993094805e-02,5.350000000000000588e-02,1.893934396058516878e+00,1.840477120178655612e+00,1.179511112747212292e-01
5.399999999999999939e-02,-1.892974329724431248e+00,-5.397801024977218198e-02,5.400000000000000633e-02,1.892952339974203424e+00,1.838996319474659025e+00,1.182784007685953875e-01
5.449999999999999983e-02,-1.891993092289460332e+00,-5.447736992577584259e-02,5.450000000000000677e-02,1.891970462215236015e+00,1.837515722363684434e+00,1.186067666603668608e-01
5.500000000000000028e-02,-1.891012046180189143e+00,-5.497671682414289468e-02,5.500000000000000722e-02,1.890988763004332274e+00,1.836035329356046297e+00,1.189362130020302638e-01
5.550000000000000072e-02,-1.890031191764055540e+00,-5.547605080051160736e-02,5.549999999999997990e-02,1.890007242564567314e+00,1.834555140963543884e+00,1.192667438624152448e-01
5.600000000000000117e-02,-1.889050529409425749e+00,-5.597537170995764422e-02,5.600000000000000810e-02,1.889025901119383288e+00,1.833075157699468161e+00,1.195983633272609120e-01
5.650000000000000161e-02,-1.888070059485591479e+00,-5.647467940698973343e-02,5.650000000000000855e-02,1.888044738892580510e+00,1.831595380078601787e+00,1.199310754992913841e-01
5.700000000000000205e-02,-1.887089782362774359e+00,-5.697397374555024374e-02,5.700000000000000899e-02,1.887063756108324331e+00,1.830115808617224005e+00,1.202648844982897036e-01
5.750000000000000250e-02,-1.886109698412132829e+00,-5.747325457901044515e-02,5.750000000000000944e-02,1.886082952991143369e+00,1.828636443833122405e+00,1.205997944611722356e-01
5.800000000000000294e-02,-1.885129808005759466e+00,-5.797252176016976649e-02,5.800000000000000988e-02,1.885102329765929507e+00,1.827157286245589596e+00,1.209358095420649398e-01
5.850000000000000339e-02,-1.884150111516688320e+00,-5.847177514125311698e-02,5.850000000000001033e-02,1.884121886657941447e+00,1.825678336375435196e+00,1.212729339123786859e-01
5.900000000000000383e-02,-1.883170609318894240e+00,-5.897101457390991480e-02,5.900000000000001077e-02,1.883141623892804262e+00,1.824199594744984276e+00,1.216111717608849285e-01
5.950000000000000427e-02,-1.882191301787298654e+00,-5.947023990920932701e-02,5.950000000000001121e-02,1.882161541696507179e+00,1.822721061878089355e+00,1.219505272937926044e-01
5.999999999999999778e-02,-1.881212189297769788e+00,-5.996945099764118547e-02,5.999999999999999778e-02,1.881181640295410906e+00,1.821242738300128616e+00,1.222910047348242935e-01
6.049999999999999822e-02,-1.880233272227127994e+00,-6.046864768911146271e-02,6.049999999999999822e-02,1.880201919916239417e+00,1.819764624538016573e+00,1.226326083252933241e-01
